ID	MaternalHaploPop	PaternalHaploPop	Background
D19qxhg	ASW	ASW	2iZkJjb,e0lm5Bs,XMIZMFo
ZRHD22e	CEU	CEU	DVGhVOz,9mx7AkG,Myq8woY
nxbpQhj	ASW	CEU	P1v5fms,9amfrWH,Y9qvWQk
8MPLoIq	ASW	CEU	9A7noGO,N5HhaoO,4bHt3bX
aRh0odB	CEU	CEU	SgiXXur,pHrxH0b,tmdIrDM
iV0UoZr	ASW	ASW	pvFMnAL,f5ZusmP,vsrupKk
mjnAKfd	ASW	ASW	m3Zbit2,reIZEtp,Enac3f3
lVzxY2E	CEU	CEU	QyqBfRz,r6gVrOi,9kIqQZK
dt7qbIk	ACB	ACB	OFIaUpy,Dp5MqKw,sh16zAW
gHwYWx4	CEU	CEU	k0QIEHs,vzxGu6w,28qSDyR
pqG4OSd	CEU	CEU	yn54eCf,w39lm8K,rj3r83i
umfDGjh	ASW	ASW	0s1f7oq,qg34Mac,6SV5AyV
uHU0qTe	PUR	PUR	U8W0XdK,AXpulZr,1XDtjj0
DDO9krt	CEU	CEU	pqkf9bz,sxlrIO7,GigkJLT
faIDuhV	CEU	CEU	TJGjRrB,Ypf3fQH,bg6kX7K
hxryAPk	GIH	GIH	FbdWcAW,WZmU2Wx,wi4h4Mm
6LOgo12	CEU	CEU	qpK8OIC,ExSfUNE,dJ7rCxI
k2fzxkE	CEU	CEU	L5FrjPU,LqUWwS7,HfJpiqv
4iFcXiI	CEU	CEU	8arSstm,bLEE6JR,KLCSwCG
m1iGHOh	CEU	CEU	9zMwtMH,t2m7eyM,CJN1On1
Qk8uKJK	ASW	ASW	fqZUbl7,gb7Hay2,bgOcSzq
L6QmjBR	CEU	CEU	Nze8MsV,WC5qOz3,HaJI5TL
IyiMdwN	CEU	CEU	Pdv03w5,iFzDO7e,gRp2vYX
1CghVNb	CEU	CEU	nMwqw6x,gAEcvGH,XDutwyf
yb64Ejc	GIH	GIH	O9E28A1,DhwG7g3,PgVHiPQ
qDgZaCf	CEU	CEU	5AEe8CI,DvwXLDH,BYIUJDK
Zv1jooj	CEU	CEU	KmzA5SA,HutYGSj,XCr3kR3
mXsG0Ts	CEU	ASW	9A4O2VK,TRSc0vV,TavLAm2
60kIwWv	CEU	CEU	B4LyDbd,btxCX2Q,LAp8Uhz
ZQAVmvW	CEU	CEU	5eMpEKl,N0FYig2,VK2AGYQ
jGCXubk	CEU	CEU	53VUh5j,pqG4OSd,mUaPXfy
vkgLv6N	CEU	CEU	6bxyAd5,ghbuLWC,c9cGrHG
74hDmrV	MXL	MXL	uNReJlT,Bf01Tpx,S5Pqc1M
bwy4PiB	CEU	CEU	0au39s8,mrTOGy7,atUaqQT
DbtJP29	CEU	CEU	OyQhPJp,ESlICpG,k7Ed929
dxA9N6E	CEU	CEU	hbfctvI,3ZZDV54,elLbGyE
HoS3klq	ASW	ASW	BsWxkiJ,JJCDRUf,tv4gSIP
3CeupNF	CEU	CEU	W9qGwa0,rGNUEXb,itgPKdD
pvoePRm	CEU	CEU	wQWZuEt,5jwWjIP,xZcVFaW
1Lw0Wvd	CEU	CEU	fWHlcrA,CKj4YaF,NDml8UZ
DYvhycE	CEU	CEU	nAJgUgu,6ffPRJt,5zdySJm
LIDCSvx	CEU	CEU	HEe0Wo6,azufhGV,xsH1VqX
OnqBLe6	ASW	ASW	ZaIrck0,GHgxBiR,v5ckget
qZPHc4x	CEU	CEU	a81ePbQ,YAFbviN,QFhlOIL
1k4dGOT	ASW	PUR	IojZfBJ,Huq94tP,kpqdbaB
vYHjFnj	CEU	CEU	e5owofA,s8HdF9h,eHxvrAN
hAimxYV	CEU	CEU	JZepqDp,UdSyMJl,m0B2GXO
StGrkQ5	ASW	ASW	4nlQHbj,jw40JwQ,HNsSaAv
67ysjov	CEU	CEU	z6t1LEM,T1wl9w4,NcPVzd4
fZrGJqK	CEU	CEU	Ahtlidv,n6ojxYK,SmP6yzR
Bi0aOaQ	CEU	ASW	yP6Lf94,Jz8Of2b,q7P6qOK
Xao6BmX	CEU	CEU	UoGPYwv,hyiQI9O,H3uP5T8
ONBDU9T	ASW	ASW	QSy9Nr6,67Q97c2,SnBoTDL
ag52vxJ	PUR	PUR	uWUUWCQ,PAsO2Bf,Ca6lolm
YbEnQ8K	ASW	ASW	lthLx1k,GIHX0p7,ekKrQx7
4fvHPPG	ASW	ASW	I1goKoY,28fL3k5,ZDJMnil
bWuJRWz	CEU	CEU	r4Lcugu,tLwFuSy,LifLYTh
tUMU1Yv	CEU	CEU	nlL5uxt,Env9yOL,cNs0asK
809QD7r	CEU	CEU	Sx1DEr5,piXDpkF,ksmF30o
ulfciFf	CEU	CEU	6Px5U0O,QbApFKr,LFp7TsZ
IgLtywv	CEU	CEU	A5FXGAI,MRjA0x9,aboJn4r
Zf8UAx8	CEU	CEU	2rc88ql,nZBFjqc,zunMMKC
BH98BBI	CEU	CEU	qfvmtcH,eDlIhh4,F213G2M
E1ypXJA	ASW	CEU	mhlFUlF,YBFEreJ,zdx2hVD
DASOsKY	CEU	CEU	3aOslKu,5W1Ryc6,r669eBh
KZROaZ2	CEU	CEU	v0Cpdzf,MyAFH3c,XpjWDp6
5EHYncz	CEU	CEU	BBDqsNo,1rGSztu,vMM1LQT
dxun0dd	CEU	ASW	zsc0PGQ,tZT7QHF,3K0das0
VIpwuGv	CEU	CEU	grukuNZ,aQDGHQw,KDTILY7
8ElIZFw	CEU	CEU	mFfueFP,9Dk0QVY,1yoKs5y
a76pAAn	CEU	CEU	zJ8g49M,xKmaLIt,FGQke3s
6fwtUDW	CEU	CEU	0xbVJLr,YGdMhHQ,3wwaA3n
AnO6r5T	CEU	CEU	tmsq6AL,gu1uplf,83AQCkG
1O3At8q	CEU	CEU	5svJg4x,TYuXe6f,RaKBi0p
XQc3SV1	CEU	MXL	wHsGh9o,wOMlU2A,2IevcEY
QAFpAI4	ASW	ASW	po8b0eK,IxezUmL,SEkgXqw
a2MW6bG	CEU	CEU	j6rVgBo,azufhGV,DlLvMfG
8vIJY6V	CEU	CEU	WomV0QN,xSUFDxf,zEAspEX
y91ASDc	CEU	CEU	afL2JMo,PfFM75K,DJ8WISy
pxYrDut	CEU	CEU	NDml8UZ,Nhm4Nsk,3Qlet4y
CMbnIOl	CEU	CEU	dpNOx9H,biYNfJ4,sHZToJq
AIsAvnk	CEU	CEU	G98vpXf,jNsYZ6Z,hE1KBf8
MmOMsC5	ACB	ACB	hRSfhCL,ccy4hQp,B8v6Z2z
Id9Pbtw	CEU	CEU	xp5soMa,6hRUWaf,krbOVf5
a8sC2NY	CEU	CEU	Z41XmJu,p52yURC,kpOwfUS
wZi0KAn	CEU	CEU	02rLi45,KiFirze,8Obtn74
GHgxBiR	ASW	ASW	1XOEuOu,FYZTnCb,YijQW6y
BxNOuxk	ASW	ASW	YoLiDL5,DsWNhay,Obwsvho
IY6NckO	ASW	ASW	1qQI6NU,xrKIdRu,oNoqxdw
qKwqJbj	CEU	CEU	wvmMjlo,WNWMTDD,Cj1C6dr
fkI1viT	ASW	ASW	EnYz2t4,JZgT4LE,WH3oZON
3NdIpjZ	ASW	ASW	EXaOKuM,FJyTFUn,T8ITVG4
GIxIX8g	CEU	CEU	3ZqRoZ1,a6XdMbr,QH8vPxb
VVZhvMi	CEU	CEU	qUQTleY,Hgzu43J,XH1n0D1
NhBONfS	ASW	ASW	HIJnbrC,REE73e3,ITGhzAk
xJCvIPX	CEU	CEU	7vCPZXK,CTLeHtj,yBPxMSZ
P8bCVie	CEU	GBR	msZ3HOA,9rEFO81,6d6Q4E2
eNJGZwI	CEU	CEU	ACHmGmZ,UVafB0X,TBOmiZ9
kMlQDzo	CEU	CEU	xdMkkK8,qKwqJbj,BGEX5qh
FEfPA8U	CEU	CEU	lv54DZe,W8pPn9z,41SZzc6
JwX9pAd	CEU	CEU	OBpJbE8,IWm3q1S,FWoBE15
j7IusBC	ASW	ASW	oxz5d6N,YRhKPpk,BexwiP8
Rgb495k	CEU	CEU	nUYrm0b,I6RffhC,jQUNwYo
5ZYDi37	ASW	ASW	xmqyLed,XBVHlR8,2GEQOK3
ZPJlhUE	CEU	CEU	X7I2A2h,3vpcXJo,YKcMRP0
heCMg2i	CEU	CEU	jC2eRNl,LE1ef9F,VrBOW2M
giu5deT	CEU	CEU	bPKuoIC,OmOD5pK,MixXkWs
NeHegKJ	CEU	CEU	wxSQeNk,X5aJe27,WCCpOXc
KR3jBC0	ASW	ASW	HiKJZsg,TRbzdGE,YUuocez
IMblX4X	CEU	CEU	7bEGLvu,gRkHUW1,A8RbW66
oQxF2QE	CEU	CEU	mbJmt1n,Rq8JEmu,oDBLuNe
IhLNNWu	CEU	CEU	ZtYen2O,yG9Ljn4,q8ATZil
dGmXO5l	ASW	ASW	m3Zbit2,lSO3VrR,1tZWjLp
PFquIKK	CEU	CEU	wNLXcnK,8G96etW,X4fZR5r
CVDVcRF	CEU	CEU	NEilcH6,IwDpgiv,th84AEg
VdaNH9e	CEU	CEU	XtLOCk7,0FLBfLY,KN2swQC
zEAspEX	CEU	CEU	6ZZjXDJ,b4uW5mp,03Ryms0
Cbsa0QS	CEU	CEU	EYEtMd6,Wridxo8,XyysLEi
bvv3Y4V	CEU	CEU	VaJquVa,EEeW3QQ,JISfJod
DekyNZ6	CEU	CEU	dEjR9hY,t4FlPzb,4cjdgUH
4SgAujc	CEU	CEU	JqoXmKg,7uA15Rl,rqKNko9
tKGbrek	ASW	ASW	xZmPXva,JjDaXNy,BMBfCvj
QA5e6IE	CEU	CEU	gr2Pz5d,M95EBNe,a6UtNDS
R4OVFBE	ASW	ASW	mOv46bU,b81j17p,P6kqxeG
Orz8F8Q	MXL	MXL	dnQMBNN,bLJi7av,kdo9qhX
bhwPW4q	ASW	ASW	5KR8vkz,Q1ol1T3,UqTkKKa
PTSPCn8	ACB	ACB	EXcjFp3,J801tj8,63kKUmv
rk24LPu	ASW	ASW	10KzGDW,K8K2sdX,SxnAmre
8JArF9e	CEU	CEU	Qc3dhL4,7IAPcAG,lcRxQ5n
rJjNdGk	CEU	CEU	Y5LP5et,WXtYxe5,bUMQLME
0NxXfFK	CEU	CEU	odS3Cml,OUmCBSR,g6kFxDL
LIQNLjK	CEU	CEU	SP3Ujc3,Z47yJnn,PiJFaBo
Kgzt7Dv	CEU	CEU	Jidqz2y,NUm4Vp7,ExR9D7S
Nu77nIl	CEU	CEU	GwMZ2rN,QgZ2HAQ,AkBnjQx
7IUuHPP	CEU	CEU	B7omOEP,RZxYojK,u3NFfKq
NU3oUUy	CEU	MXL	x3dhJBo,6pk1zvZ,FFXhZb4
kJ1aOij	ASW	ASW	WqZfuL8,GdwXfjV,hWnsryk
FhNI9V6	CEU	CEU	mb98y9q,2ESzD9p,08wB2jF
tv8IvdB	CEU	CEU	b3QwR34,zACLcqD,AK6LTgB
qDbfc5F	MXL	MXL	a2DCDO4,XRpmGXB,Iutnmaz
eFdTFcm	CEU	ACB	VcjBHbR,SUZmJmt,9LXCdEA
DP6d5Ku	MXL	MXL	Ozi7nPl,hEF9Hgy,qfwpZkR
Ldm58kk	CEU	CEU	ZiNFtHG,YUXYgCl,8arSstm
